seq,match,half,n_frames,label,hota,deta,assa,loca,off_hota,off_deta,off_assa,off_loca,ids,gt_ids
CLPD-118576-1st,118576,1st,3000,2min,28.143316150810875,12.513491309419603,63.31415732115322,87.90541649798259,45.59639502656287,48.78643996355772,43.0515153642457,83.79392093087635,49,22
CLPD-118576-1st,118576,1st,7500,5min,22.10164316543479,9.314979527154259,52.449593404234754,87.6623087490208,37.88574267493907,46.45279886864221,31.246802547860852,83.50411471838771,68,22
CLPD-118576-1st,118576,1st,15000,10min,16.61196020163293,8.153691879580032,33.96474486627253,86.01588403146259,31.486328104635252,44.23145244103798,22.82749269140515,82.88209514520389,85,22
CLPD-118576-1st,118576,1st,30000,20min,13.563232173781186,7.736565144111419,23.845970142873938,86.28151122745848,27.534558801356184,44.75228654721884,17.20123615471075,82.85532868779406,91,22
CLPD-118576-1st,118576,1st,72825,full,12.358230061501093,7.110420624470895,21.582906901929217,86.41749699214654,24.559800907629317,46.259923298537366,13.240507518000577,83.0115826459747,141,23
CLPD-118576-2nd,118576,2nd,750,30s,14.240329881359267,2.781447452221721,74.99808404529337,81.18694881980801,58.323153889344056,49.216580301132836,69.96154701268952,83.65810750313285,27,22
CLPD-118576-2nd,118576,2nd,1500,1min,12.071881399664015,3.4325256850295034,42.78790308434884,82.73652919919881,51.66098913319892,50.73784851230329,53.0301972744287,83.51072226654942,34,22
CLPD-118576-2nd,118576,2nd,3000,2min,11.417171035056658,3.8447968571040088,34.07174464935518,80.44471838475185,38.492475533890065,42.120548188545115,35.65088791093938,80.78728324990851,49,22
CLPD-118576-2nd,118576,2nd,7500,5min,13.41676703200645,5.946012932287012,30.498717356353506,82.06561571659708,31.04523283732735,41.877919400489475,23.502338847194316,80.83024209602122,74,22
CLPD-118576-2nd,118576,2nd,15000,10min,11.47484747572282,6.3361257226735495,20.914363099167048,82.49507842505463,26.369464283574555,43.472805877229554,16.426042875150003,81.01060617100595,83,22
CLPD-118576-2nd,118576,2nd,30000,20min,10.249055860728037,6.6149371741623035,15.952043618409807,82.00852358022799,20.303442347132847,41.622659601601875,10.198374834244337,80.6271480543961,98,24
CLPD-118576-2nd,118576,2nd,72775,full,11.029377178382244,8.391753347815103,14.550716718011492,82.55139224292006,20.046687872114248,42.50021615355764,9.714301314593271,80.80279861804999,142,28
CLPD-118577-1st,118577,1st,750,30s,42.257103663578235,20.6322866839277,86.58875453702397,91.25272171099287,71.78729649726914,66.27628036966244,78.14263147367416,88.34096012769655,31,22
CLPD-118577-1st,118577,1st,1500,1min,42.83895341092179,20.933934815672043,87.72908839269503,91.56216095033285,71.66203218021954,69.20071241828947,74.47446709853136,88.43001451637603,36,22
CLPD-118577-1st,118577,1st,3000,2min,40.736523406419124,21.236982716826553,78.18280425526379,90.76991073958884,60.849366415962,60.90902204046014,61.162742556907034,87.28883597167713,47,22
CLPD-118577-1st,118577,1st,7500,5min,30.625772078463818,19.797999578396485,47.39818472588896,89.69131497621512,45.299365136031575,59.41317576740065,34.83148059105194,86.82180591649042,65,22
CLPD-118577-1st,118577,1st,15000,10min,25.23336329957577,17.713054467894306,35.96223273941932,87.97701773375883,37.15756332463174,55.77935298291037,25.047399570452093,85.3286420363955,83,22
CLPD-118577-1st,118577,1st,30000,20min,21.824792125265418,16.97233565749391,28.064920985516135,87.01168814152585,32.666786281979654,53.06354007651648,20.343794560590617,84.62233229915226,109,24
CLPD-118577-1st,118577,1st,72425,full,18.233982957966553,15.684957525698017,21.198462950537085,86.66912415923426,25.102372303396546,49.6942822341605,12.774001441426874,84.00736063134944,168,24
CLPD-118577-2nd,118577,2nd,750,30s,29.335032867330597,10.602934956012247,81.20219655029612,88.40680036831007,62.34702874525097,56.64210443324453,69.12372709030299,85.95066097180327,34,22
CLPD-118577-2nd,118577,2nd,1500,1min,30.765070046873234,12.158557843704857,77.85224094583442,90.65587839736399,65.42765369851655,62.00850115295719,69.39637861951269,87.43588691800177,48,22
CLPD-118577-2nd,118577,2nd,3000,2min,30.724246735674026,13.226243004323097,71.38516494732686,90.49413060239428,53.9382776130618,53.308580512644674,55.07091391055905,86.33357362966623,72,22
CLPD-118577-2nd,118577,2nd,7500,5min,23.19128938563531,11.659640658626753,46.16337710068107,88.68251244782623,39.05373373167717,49.18023870697466,31.433801190425015,84.69266179463547,115,22
CLPD-118577-2nd,118577,2nd,15000,10min,18.630928521087252,11.425558343475405,30.399543043860618,87.22485394578668,31.63938534930858,44.789602494912664,22.674908130921605,83.72048973935095,144,22
CLPD-118577-2nd,118577,2nd,30000,20min,21.352637125488627,14.917066044190266,30.589788065741107,87.14896711287213,32.203887789385185,45.905119891667105,22.94130208008242,83.80763644797901,205,24
CLPD-118577-2nd,118577,2nd,72475,full,16.542166790405314,12.259534268447537,22.33629102430538,87.0023079379437,24.68239726021313,46.048909182097994,13.3883316280526,83.64425855527928,351,30
